group,encoded_feature_count,cumulative_mean_abs_shap,cumulative_share_percent,per_encoded_feature_mean_abs_shap
Initial,3,10.206979274749756,22.164550839018784,3.4023264249165854
Process,4,25.917011976242065,56.27903359850405,6.479252994060516
Chemistry,6,6.600625097751617,14.33331905653408,1.100104182958603
Waste type,10,3.326302295550704,7.223096505943087,0.3326302295550704
