analysis,feature_set,validation,seed,train_n,test_n,train_groups,test_groups,train_r2,test_r2,gap,rmse,mae
segment_a_only,P0,random,0,1246,416,205,179,0.9720819247756879,0.9170261118176829,0.05505581295800499,8.816144654513812,6.311276873502318
segment_a_only,P0,random,7,1246,416,205,179,0.9692452046410571,0.8913295229574376,0.07791568168361951,10.627198992066456,6.945260633333809
segment_a_only,P0,random,21,1246,416,205,179,0.970443415593176,0.9235172541025403,0.046926161490635776,8.594304534553597,5.973342177092319
segment_a_only,P0,random,42,1246,416,205,181,0.9709808848836536,0.8975458726750931,0.07343501220856052,10.081739414284543,6.62238485734555
segment_a_only,P0,random,84,1246,416,205,181,0.9714310588573204,0.8807474106132305,0.09068364824408992,10.995562249882669,7.450376646758675
segment_a_only,P0,group,0,1244,418,153,52,0.9740664018303131,0.7429907490547311,0.23107565277558206,14.614271918971253,9.166478034930693
segment_a_only,P0,group,7,1237,425,153,52,0.9678926478958483,0.8641694953176495,0.10372315257819875,12.432736461832546,8.455974570066848
segment_a_only,P0,group,21,1235,427,153,52,0.9750212589165658,0.8181840441653557,0.15683721475121004,13.25640464064149,9.089919894666682
segment_a_only,P0,group,42,1252,410,153,52,0.9725705947181571,0.8559744656297404,0.11659612908841666,11.071007923639776,7.710176664872761
segment_a_only,P0,group,84,1241,421,153,52,0.9688829705654172,0.844365378989372,0.12451759157604514,13.684096499247687,8.784174384741796
segment_a_only,P1,random,0,1246,416,205,179,0.9807719537829542,0.9291776101800437,0.051594343602910486,8.145041009437827,5.9037730230330245
segment_a_only,P1,random,7,1246,416,205,179,0.9800957822456543,0.9076651620115623,0.07243062023409197,9.795933352791733,6.0406178295890856
segment_a_only,P1,random,21,1246,416,205,179,0.979288509783869,0.9209098554067713,0.05837865437709777,8.73957246154715,5.83755070582178
segment_a_only,P1,random,42,1246,416,205,181,0.9806969384366152,0.904477591041069,0.07621934739554626,9.734717924586,6.241348477831379
segment_a_only,P1,random,84,1246,416,205,181,0.9806114815576019,0.8996555027834781,0.08095597877412386,10.086263581844161,6.541430890010815
segment_a_only,P1,group,0,1244,418,153,52,0.9831835837181366,0.8199908412027688,0.16319274251536786,12.23066601588787,7.614120390360711
segment_a_only,P1,group,7,1237,425,153,52,0.97807331990246,0.8950219454168553,0.08305137448560473,10.929928751671186,7.575997091675444
segment_a_only,P1,group,21,1235,427,153,52,0.9824068024860134,0.8293910754576237,0.15301572702838973,12.841348370852868,8.098014918878976
segment_a_only,P1,group,42,1252,410,153,52,0.9806924380337521,0.8748456253094492,0.10584681272430285,10.320255072491333,6.808754984078726
segment_a_only,P1,group,84,1241,421,153,52,0.981043807926811,0.851462436070455,0.129581371856356,13.368453520396177,8.02889588409725
