candidate,validation,seed,train_r2,test_r2,gap,rmse,mae
XGB_current,group,0,0.9454720893067289,0.7563257187669407,0.18914637053978822,15.431531587493238,10.653021816948398
XGB_current,group,7,0.952685896310998,0.7302055143929694,0.22248038191802855,16.610148303350062,11.561785428900402
XGB_current,group,21,0.9478824190201037,0.7810782573384866,0.16680416168161716,14.146744475298624,10.199250376207946
XGB_current,group,42,0.94653041577897,0.6823357402774335,0.2641946755015365,19.037386983063314,13.003632925108477
XGB_current,group,84,0.9456532599780849,0.8011998547507755,0.14445340522730943,14.063396546035206,10.316278492574973
XGB_current,random,0,0.9404907059687312,0.8554555994399067,0.08503510652882451,12.834456339078924,9.05674273201137
XGB_current,random,7,0.9465637068297315,0.8258941326304128,0.12066957419931867,13.988849651550831,9.18852626195593
XGB_current,random,21,0.9451726415246811,0.8407308987787939,0.10444174274588713,13.485688200950127,8.451510945318574
XGB_current,random,42,0.9439587806786426,0.8493613848278041,0.09459739585083848,12.930150378174801,8.835695884598522
XGB_current,random,84,0.9439222257179468,0.8429674848676835,0.10095474085026335,13.448914256122112,8.76504704124327
XGB_reg1,group,0,0.8127041836789125,0.6693470232707791,0.1433571604081334,17.97589007786364,13.228033412570174
XGB_reg1,group,7,0.8256226565056692,0.6272482083201396,0.19837444818552963,19.52391217905895,14.261835810072636
XGB_reg1,group,21,0.808715101978644,0.6905966764719635,0.1181184255066805,16.81800774470132,12.654041952386862
XGB_reg1,group,42,0.8115267127795802,0.6533370405656831,0.15818967221389713,19.887348333091413,14.957981680306297
XGB_reg1,group,84,0.8028475793014415,0.7219340927907805,0.08091348651066099,16.632431610618877,12.938421668760261
XGB_reg1,random,0,0.7933218264361619,0.7625213388207819,0.030800487615380012,16.45088008339867,11.932012744134314
XGB_reg1,random,7,0.801213634631327,0.7163133245052029,0.08490031012612409,17.85643543914229,12.631957995580988
XGB_reg1,random,21,0.8048961483943634,0.726078660449419,0.07881748794494436,17.685619741687937,12.272741723959173
XGB_reg1,random,42,0.8035586989850168,0.7479219741124914,0.055636724872525356,16.726416738881014,12.378647269016625
XGB_reg1,random,84,0.8001427099241295,0.735365804402865,0.06477690552126447,17.458841109877287,12.20996270176406
XGB_reg2,group,0,0.722801826355703,0.586799015938663,0.13600281041704,20.09485417226316,15.144787338260143
XGB_reg2,group,7,0.7390982771903463,0.5610028903735864,0.17809538681675985,21.1878947089754,15.671220823114242
XGB_reg2,group,21,0.7188872915854716,0.6315241254574396,0.08736316612803197,18.353402543247707,14.196499269274558
XGB_reg2,group,42,0.7172406754774636,0.6065421783022034,0.11069849717526026,21.187135891605923,16.26220501120207
XGB_reg2,group,84,0.717632096146694,0.6776544429026494,0.039977653244044564,17.907819916565956,14.020104657805588
XGB_reg2,random,0,0.6989114014469777,0.6924693603200974,0.0064420411268802935,18.72065485791954,14.087282750467484
XGB_reg2,random,7,0.7161533393447772,0.6413941495555431,0.07475918978923413,20.076314216096367,14.616294917698431
XGB_reg2,random,21,0.7129400709038244,0.6644349271116589,0.04850514379216553,19.574727511444685,14.191167932452238
XGB_reg2,random,42,0.7094933860326015,0.6760512552576916,0.03344213077490987,18.96153837085954,14.608222281382059
XGB_reg2,random,84,0.7119291452691698,0.6650422305577404,0.04688691471142947,19.64207926601213,14.286881509625244
XGB_reg3,group,0,0.7257462048303797,0.5888016088025583,0.13694459602782139,20.046099825145028,15.008352978025707
XGB_reg3,group,7,0.741275016030269,0.5649897446348319,0.17628527139543715,21.09146387523581,15.539037084098416
XGB_reg3,group,21,0.7227348336025498,0.6337012988385546,0.08903353476399511,18.29910083460357,14.161481106584194
XGB_reg3,group,42,0.7192967531574005,0.6014063219512347,0.11789043120616582,21.324966795091008,16.335502616448892
XGB_reg3,group,84,0.7177947197705006,0.6727885582822188,0.04500616148828174,18.042475106292056,14.176401346337492
XGB_reg3,random,0,0.7066906839560629,0.6974298801621118,0.009260803793951111,18.569057427499306,13.821282913914507
XGB_reg3,random,7,0.7172485656763741,0.6461721678161716,0.07107639786020248,19.94211860073504,14.489390042014607
XGB_reg3,random,21,0.714775306831631,0.6676059005857549,0.04716940624587618,19.48202078941534,14.15933071420827
XGB_reg3,random,42,0.7198640598955893,0.678733058641653,0.04113100125393632,18.88288889469458,14.49063701830155
XGB_reg3,random,84,0.7176607323766747,0.6680957027610065,0.04956502961566822,19.55234578086711,14.163209240979336
HGB_reg1,group,0,0.8775694569024514,0.7133485492692027,0.1642209076332487,16.73714032672518,12.017518376072253
HGB_reg1,group,7,0.8796613824587679,0.6829412043595824,0.19672017809918552,18.00639937798009,12.989171626978607
HGB_reg1,group,21,0.8771586478385247,0.7135889338728043,0.1635697139657204,16.18105961179975,12.010881066860719
HGB_reg1,group,42,0.8802563755168091,0.6835820352053883,0.19667434031142084,19.000005510054933,13.829776824353264
HGB_reg1,group,84,0.8712882707458468,0.7458627669595358,0.125425503786311,15.900691903605226,11.997231609319197
HGB_reg1,random,0,0.869740119889239,0.8112484307854892,0.0584916891037498,14.666352745598632,10.549256108979016
HGB_reg1,random,7,0.8747124617159912,0.7830025341468031,0.09170992756918805,15.61718050737657,10.975965500595418
HGB_reg1,random,21,0.8736727136048777,0.792598841421907,0.0810738721829708,15.389089968736762,10.341217685845018
HGB_reg1,random,42,0.871816990907324,0.7958908958611779,0.07592609504614611,15.05104335586568,10.787226171631081
HGB_reg1,random,84,0.8716101684691855,0.7929974821056082,0.07861268636357732,15.441171459908148,10.438559128463687
HGB_reg2,group,0,0.8155683372281199,0.6601862282488402,0.15538210897927973,18.22320132436976,13.395199831424891
HGB_reg2,group,7,0.8259106303778431,0.6313479210634583,0.1945627093143848,19.416248394691298,14.230626851734717
HGB_reg2,group,21,0.8148185288712593,0.6818459125728284,0.13297261629843082,17.0541789002423,13.03615284862396
HGB_reg2,group,42,0.8188366121539281,0.6527231098864772,0.16611350226745092,19.90495051997997,14.94547123383465
HGB_reg2,group,84,0.8061972766298092,0.7073028173867955,0.09889445924301377,17.064404810537294,13.287416065739718
HGB_reg2,random,0,0.8065734108183352,0.7717059225429843,0.03486748827535091,16.129621012386714,11.812082954847265
HGB_reg2,random,7,0.8132148244611962,0.7375242269674891,0.0756905974937071,17.175916127146245,12.21895267524089
HGB_reg2,random,21,0.8134018676211776,0.7517835203121542,0.06161834730902338,16.835369613960935,11.685549820110868
HGB_reg2,random,42,0.8119676657774941,0.7503565918633853,0.061611073914108805,16.645447295142628,12.321643339527524
HGB_reg2,random,84,0.8126336940881769,0.7455763698329754,0.0670573242552015,17.11871469249932,11.824061570141202
LGBM_reg1,group,0,0.7793397727426914,0.6405359142909597,0.1388038584517317,18.74269070424441,13.736426787546218
