frac,n,train_r2,test_r2,test_rmse,model
0.18,350,0.971993313687388,0.6326178472547089,20.597768371240463,XGBoost
0.32,623,0.9695229060519173,0.6742277337871079,19.396268940122948,XGBoost
0.46,896,0.9506811491205531,0.6933430152971233,18.81861135528413,XGBoost
0.6,1168,0.9523119889915338,0.7191671167881711,18.008814394067244,XGBoost
0.75,1461,0.9468457191771243,0.7388067572317932,17.3676921063517,XGBoost
1.0,1948,0.944421028200823,0.7519141865175271,16.92630287966623,XGBoost
